EmployeeNo,Gender,Age,MaritalStatus,Degree,Tier,Track,PrimaryCEG,SecondaryCEG,PerformanceRating,PotentialRating,PerDayRate,CostToCompany,EmployeeRatedEnvirementSatisfaction,EmployeeRatedJobInvolvement,EmployeeRatedJobSatisfaction,EmployeeratedRelationshipSatisfaction,EmployeeratedWorkLifeBalance,DateOfJoining,LastPromotionDate,CompanyTenure,RoleTenure,ElapsedPromotion,ManagerTenure,Longevity,Attrition
10000419,Female,26,Other,Software Engineering,1,Technology,,,4,0,0,0,1,3,4,2,1,22-Jul-19,22-Oct-20,3.3,2,0,2,1,0
10000454,Female,26,Other,Software Engineering,1,ASM,,,3,0,0,0,2,3,3,2,2,22-Mar-15,22-Oct-15,7.6,7,1,7,1,1
10000461,Male,26,Other,Software Engineering,2,Quality,,,3,0,0,0,1,3,3,1,3,22-Jan-22,22-Jan-22,0.8,0.8,0,0.8,0,0
10000464,Male,26,Single,Software Engineering,1,Technology,,,3,0,0,0,3,1,4,2,1,22-Feb-21,22-Feb-21,1.7,1.7,0,1.7,0,1
10000476,Male,26,Married,Software Engineering,2,Quality,,,4,0,0,0,1,3,2,4,4,22-Jun-17,22-Oct-19,5.4,3,1,3,1,0
10000506,Female,26,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,3,22-Dec-18,22-Oct-20,3.9,2,0,2,1,0
10000572,Female,26,Other,Software Engineering,1,Technology,,,3,0,0,0,1,1,4,1,3,22-Jun-20,22-Oct-20,2.4,2,2,2,0,0
10000574,Male,26,Single,Software Engineering,2,Quality,,,3,0,0,0,4,2,1,3,2,22-Jan-18,22-Oct-19,4.8,3,1,3,1,1
10000615,Female,26,Married,Software Engineering,1,Technology,,,3,0,0,0,3,2,3,1,3,22-Aug-14,22-Oct-15,8.2,7,1,7,1,1
10000686,Male,26,Single,Software Engineering,2,Quality,,,3,0,0,0,3,2,1,2,3,22-Jun-15,22-Oct-15,7.4,7,0,7,1,0
10000734,Male,26,Married,Software Engineering,2,Technology,,,3,0,0,0,4,4,4,2,3,22-Mar-14,22-Oct-15,8.6,7,1,7,1,0
10000749,Male,26,Single,Software Engineering,2,Quality,,,3,0,0,0,2,1,1,4,3,22-Jul-20,22-Oct-20,2.3,2,2,2,0,1
10000763,Male,26,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,1,2,3,22-Mar-19,22-Oct-20,3.6,2,1,2,1,1
10000770,Female,26,Other,Software Engineering,1,Technology,,,3,0,0,0,1,2,3,3,3,22-Sep-17,22-Oct-19,5.1,3,1,3,1,0
10000782,Male,26,Married,Software Engineering,1,Technology,,,3,0,0,0,1,2,1,1,3,22-Apr-17,22-Oct-19,5.5,3,1,3,1,0
10000798,Male,26,Other,Software Engineering,1,Technology,,,4,0,0,0,1,3,3,3,2,22-Oct-20,22-Oct-21,2.0,1,0,1,0,1
10000844,Male,26,Married,Software Engineering,1,Technology,,,4,0,0,0,1,4,4,2,3,22-Dec-13,22-Oct-15,8.9,7,0,7,1,0
10000913,Male,26,Single,Software Engineering,1,Technology,,,4,0,0,0,3,3,4,2,2,22-Jul-14,22-Oct-17,8.3,5,2,5,1,0
10000999,Male,26,Single,Software Engineering,1,Technology,,,3,0,0,0,1,2,4,4,3,22-Dec-17,22-Oct-19,4.9,3,1,3,1,0
10001005,Male,26,Single,Other,1,Technology,,,3,0,0,0,3,4,1,4,3,22-Jun-15,22-Oct-15,7.4,7,0,7,1,0
10001119,Female,26,Married,Software Engineering,1,Technology,,,4,0,0,0,1,3,4,1,3,22-Aug-21,22-Aug-21,1.2,1.2,0,1.2,0,0
10001207,Male,26,Single,Software Engineering,1,Technology,,,4,0,0,0,4,3,4,3,3,22-Sep-15,22-Oct-15,7.1,7,5,7,1,0
10001225,Male,26,Married,Software Engineering,1,Technology,,,3,0,0,0,4,1,3,3,4,22-Feb-19,22-Oct-20,3.7,2,0,2,1,0
10001298,Female,26,Married,Software Engineering,1,ASM,,,3,0,0,0,4,3,2,3,3,22-Oct-16,22-Oct-21,6.0,1,1,1,1,1
10001310,Male,26,Single,Software Engineering,2,Quality,,,3,0,0,0,3,3,4,1,3,22-Mar-17,22-Oct-19,5.6,3,1,3,1,0
10001350,Female,26,Married,Software Engineering,1,Technology,,,3,0,0,0,2,2,3,3,2,22-Mar-21,22-Mar-21,1.6,1.6,1,1.6,0,0
10001362,Male,26,Married,Other,1,Technology,,,3,0,0,0,3,4,4,1,3,22-Oct-14,22-Oct-15,8.0,7,7,7,1,0
10001387,Male,26,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,1,4,2,22-Sep-15,22-Oct-15,7.1,7,7,7,1,0
10001465,Female,26,Single,Other,1,Quality,,,3,0,0,0,4,2,3,4,3,22-Feb-18,22-Oct-20,4.7,2,0,2,1,0
10000005,Male,27,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,2,4,3,22-Apr-20,22-Oct-20,2.5,2,2,2,0,0
10000042,Female,27,Other,Software Engineering,1,Technology,,,3,0,0,0,4,3,1,4,3,22-Mar-21,22-Mar-21,1.6,1.6,0,1.6,0,0
10000044,Male,27,Single,Software Engineering,3,Quality,,,3,0,0,0,4,3,3,4,3,22-Jun-13,22-Oct-14,9.4,8,1,8,1,0
10000162,Male,27,Other,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,4,1,22-Aug-20,22-Oct-20,2.2,2,2,2,0,0
10000165,Male,27,Other,Software Engineering,1,Technology,,,3,0,0,0,3,2,3,4,2,22-Jun-21,22-Oct-21,1.4,1,0,1,0,0
10000171,Male,27,Married,Technical Degree,1,Technology,,,3,0,0,0,3,3,2,4,2,22-Mar-17,22-Oct-20,5.6,2,1,2,1,0
10000192,Female,27,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,4,2,22-Apr-15,22-Oct-15,7.5,7,0,7,1,0
10000201,Male,27,Married,Technical Degree,2,Technology,,,3,0,0,0,3,2,1,3,3,22-Oct-19,22-Oct-20,3.0,2,2,2,0,0
10000213,Female,27,Single,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,4,3,22-Apr-15,22-Oct-15,7.5,7,0,7,1,0
10000319,Female,27,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,2,2,2,22-Aug-18,22-Oct-19,4.2,3,1,3,1,0
10000321,Male,27,Single,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,1,3,22-Mar-17,22-Oct-18,5.6,4,0,4,1,0
10000332,Male,27,Married,Software Engineering,2,Quality,,,3,0,0,0,3,3,2,4,3,22-Aug-17,22-Oct-18,5.2,4,1,4,1,0
10000340,Female,27,Married,Software Engineering,2,Quality,,,3,0,0,0,2,3,2,1,3,22-Jun-14,22-Oct-15,8.4,7,0,7,1,0
10000374,Male,27,Other,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,2,3,22-Sep-17,22-Oct-20,5.1,2,0,2,1,0
10000486,Female,27,Other,Software Engineering,1,Technology,,,3,0,0,0,1,2,3,3,2,22-Aug-17,22-Oct-19,5.2,3,0,3,1,0
10000496,Male,27,Other,Software Engineering,1,Quality,,,3,0,0,0,3,3,1,2,3,22-Mar-18,22-Oct-19,4.6,3,0,3,1,1
10000513,Male,27,Single,Software Engineering,1,Technology,,,3,0,0,0,1,2,4,4,3,22-Jan-18,22-Oct-20,4.8,2,1,2,1,0
10000522,Female,27,Other,Software Engineering,2,Quality,,,4,0,0,0,4,4,4,2,3,22-Sep-16,22-Oct-17,6.1,5,0,5,1,0
10000531,Female,27,Married,Software Engineering,3,Technology,,,3,0,0,0,3,3,1,4,3,22-Sep-13,22-Oct-15,9.1,7,0,7,1,0
10000538,Male,27,Other,Software Engineering,3,Technology,,,4,0,0,0,4,3,1,3,2,22-Jul-13,22-Oct-15,9.3,7,1,7,1,0
10000555,Female,27,Single,Software Engineering,2,Technology,,,3,0,0,0,4,2,1,1,1,22-Dec-14,22-Oct-16,7.9,6,0,6,1,0
10000577,Male,27,Married,Software Engineering,2,Quality,,,3,0,0,0,3,3,4,2,3,22-Oct-17,22-Oct-20,5.0,2,1,2,1,0
10000611,Male,27,Other,Technical Degree,3,Technology,,,3,0,0,0,3,2,4,2,3,22-Oct-12,22-Oct-14,10.0,8,0,8,1,0
10000616,Male,27,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,3,2,22-Jul-22,22-Jul-22,0.3,0.3,0,0.3,0,0
10000671,Female,27,Single,Software Engineering,1,Technology,,,3,0,0,0,2,3,3,3,3,22-Aug-21,22-Oct-21,1.2,1,0,1,0,0
10000718,Female,27,Married,Technical Degree,1,Technology,,,3,0,0,0,3,3,2,2,3,22-Oct-19,22-Oct-20,3.0,2,2,2,0,0
10000740,Female,27,Married,Software Engineering,2,Technology,,,3,0,0,0,1,3,4,2,3,22-Feb-19,22-Oct-20,3.7,2,2,2,1,0
10000787,Male,27,Married,Software Engineering,1,Technology,,,3,0,0,0,1,1,3,4,3,22-Jun-19,22-Oct-20,3.4,2,1,2,1,0
10000834,Male,27,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,3,3,3,22-Jan-18,22-Oct-20,4.8,2,2,2,1,0
10000890,Male,27,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,1,4,2,22-Apr-13,22-Oct-15,9.5,7,6,7,1,0
10000903,Male,27,Other,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,2,3,22-Apr-17,22-Oct-19,5.5,3,0,3,1,0
10000971,Female,27,Married,Software Engineering,1,Quality,,,3,0,0,0,3,4,4,2,3,22-Apr-21,22-Apr-21,1.5,1.5,0,1.5,0,0
10000975,Male,27,Single,Software Engineering,2,Quality,,,4,0,0,0,4,1,4,2,3,22-Jan-16,22-Oct-20,6.8,2,0,2,1,0
10000997,Female,27,Married,Software Engineering,2,Quality,,,3,0,0,0,4,2,4,4,3,22-Feb-16,22-Oct-20,6.7,2,4,2,1,0
10000998,Female,27,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,4,3,22-Aug-14,22-Oct-20,8.2,2,7,2,1,1
10001018,Male,27,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,1,2,4,22-Jan-17,22-Jan-17,5.8,5.8,1,5.8,1,0
10001150,Male,27,Other,Other,1,Technology,,,3,0,0,0,4,2,1,1,3,22-Sep-15,22-Oct-15,7.1,7,0,7,1,0
10001170,Female,27,Married,Software Engineering,1,Technology,,,3,0,0,0,2,4,3,1,3,22-Feb-19,22-Oct-20,3.7,2,0,2,1,0
10001171,Male,27,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,3,2,22-Dec-17,22-Oct-20,4.9,2,1,2,1,0
10001249,Female,27,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,2,22-Jan-16,22-Oct-20,6.8,2,1,2,1,0
10001318,Female,27,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,3,2,22-Jun-17,22-Oct-18,5.4,4,0,4,1,0
10001329,Female,27,Married,Software Engineering,2,Quality,,,4,0,0,0,2,2,3,4,3,22-Jan-13,22-Oct-14,9.8,8,5,8,1,0
10001335,Female,27,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,1,4,2,22-Aug-15,22-Oct-16,7.2,6,7,6,1,0
10001351,Female,27,Single,Software Engineering,2,Quality,,,3,0,0,0,1,4,3,2,2,22-Dec-13,22-Oct-15,8.9,7,0,7,1,0
10001368,Male,27,Married,Technical Degree,1,Technology,,,3,0,0,0,2,3,2,3,2,22-Jan-17,22-Oct-19,5.8,3,1,3,1,0
10001380,Female,27,Married,Software Engineering,1,ASM,,,3,0,0,0,1,2,2,1,3,22-Apr-21,22-Apr-21,1.5,1.5,0,1.5,0,1
10001394,Male,27,Single,Software Engineering,2,Quality,,,3,0,0,0,4,3,4,1,3,22-Apr-15,22-Oct-15,7.5,7,0,7,1,0
10001468,Male,27,Married,Software Engineering,2,Technology,,,4,0,0,0,2,4,2,2,3,22-Jan-16,22-Oct-20,6.8,2,0,2,1,0
10000015,Male,28,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,3,2,3,22-Aug-18,22-Oct-20,4.2,2,0,2,1,1
10000052,Male,28,Single,Technical Degree,1,Technology,,,3,0,0,0,3,3,3,3,2,22-Mar-20,22-Oct-20,2.6,2,2,2,0,1
10000098,Male,28,Married,Software Engineering,2,Quality,,,3,0,0,0,2,3,3,2,4,22-Sep-17,22-Oct-18,5.1,4,0,4,1,0
10000163,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,1,22-Sep-17,22-Oct-20,5.1,2,0,2,1,0
10000265,Male,28,Single,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,3,1,22-Jun-22,22-Jun-22,0.4,0.4,0,0.4,0,1
10000273,Male,28,Married,Software Engineering,1,Technology,,,4,0,0,0,4,3,4,4,2,22-Jun-17,22-Oct-20,5.4,2,0,2,1,0
10000290,Female,28,Single,Software Engineering,1,Technology,,,4,0,0,0,4,3,4,4,3,22-Jul-17,22-Oct-19,5.3,3,0,3,1,0
10000303,Male,28,Single,Software Engineering,2,Technology,,,3,0,0,0,2,4,1,3,3,22-Oct-13,22-Oct-19,9.0,3,0,3,1,0
10000324,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,1,1,4,4,2,22-Dec-18,22-Oct-20,3.9,2,2,2,1,1
10000375,Male,28,Single,Software Engineering,2,Quality,,,3,0,0,0,2,3,4,4,3,22-Mar-15,22-Oct-17,7.6,5,0,5,1,0
10000405,Male,28,Other,Software Engineering,2,Technology,,,3,0,0,0,3,3,1,4,3,22-Jun-12,22-Jun-12,10.4,10.4,1,10.4,1,0
10000541,Female,28,Single,Software Engineering,1,Technology,,,3,0,0,0,1,1,2,4,3,22-Jun-15,22-Oct-15,7.4,7,3,7,1,1
10000599,Male,28,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,3,4,2,22-Mar-20,22-Oct-20,2.6,2,2,2,0,1
10000613,Female,28,Married,Software Engineering,2,Quality,,,4,0,0,0,2,3,2,1,3,22-Sep-14,22-Oct-15,8.1,7,7,7,1,0
10000630,Male,28,Other,Software Engineering,1,ASM,,,3,0,0,0,2,2,4,4,3,22-Aug-17,22-Oct-21,5.2,1,0,1,1,0
10000660,Male,28,Single,Software Engineering,2,Quality,,,3,0,0,0,1,3,4,2,3,22-Jun-18,22-Oct-20,4.4,2,0,2,1,0
10000669,Female,28,Other,Software Engineering,1,Technology,,,3,0,0,0,3,3,3,2,3,22-Oct-19,22-Oct-20,3.0,2,2,2,0,0
10000765,Male,28,Married,Software Engineering,1,Quality,,,4,0,0,0,4,3,2,2,3,22-Oct-20,22-Oct-20,2.0,2,0,2,0,0
10000781,Male,28,Single,Technical Degree,3,Technology,,,3,0,0,0,2,2,1,1,2,22-Jun-12,22-Oct-15,10.4,7,1,7,1,1
10000789,Female,28,Single,Other,2,Technology,,,3,0,0,0,3,3,3,4,4,22-Jan-14,22-Oct-15,8.8,7,1,7,1,0
10000794,Male,28,Other,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,4,2,22-Feb-18,22-Oct-20,4.7,2,2,2,1,0
10000801,Male,28,Other,Software Engineering,1,Technology,,,3,0,0,0,1,2,2,1,3,22-Apr-21,22-Apr-21,1.5,1.5,0,1.5,0,1
10000810,Female,28,Other,Software Engineering,3,Technology,,,3,0,0,0,4,3,2,2,2,22-Oct-12,22-Oct-15,10.0,7,1,7,1,0
10000820,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,1,2,2,1,1,22-Aug-17,22-Oct-19,5.2,3,0,3,1,0
10000828,Male,28,Other,Software Engineering,1,Technology,,,3,0,0,0,3,2,3,4,3,22-Apr-19,22-Oct-21,3.5,1,0,1,1,0
10000843,Female,28,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,4,2,22-Dec-20,22-Oct-21,1.9,1,0,1,0,1
10000869,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,1,3,3,22-Apr-16,22-Oct-17,6.5,5,3,5,1,0
10000922,Male,28,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,3,2,22-Aug-18,22-Oct-20,4.2,2,0,2,1,0
10000930,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,4,2,3,22-Oct-19,22-Oct-20,3.0,2,2,2,0,0
10000934,Male,28,Single,Technical Degree,1,Technology,,,3,0,0,0,4,3,1,2,2,22-Jul-19,22-Oct-20,3.3,2,1,2,1,0
10000945,Female,28,Married,Software Engineering,2,Technology,,,3,0,0,0,3,1,4,1,3,22-Feb-13,22-Oct-14,9.7,8,7,8,1,0
10000985,Male,28,Married,Software Engineering,2,Quality,,,3,0,0,0,3,2,1,3,3,22-Jun-17,22-Oct-19,5.4,3,0,3,1,0
10001042,Male,28,Single,Software Engineering,2,Quality,,,3,0,0,0,4,3,1,4,3,22-Aug-17,22-Oct-18,5.2,4,1,4,1,0
10001057,Male,28,Married,Technical Degree,1,Quality,,,3,0,0,0,1,3,3,4,4,22-Mar-19,22-Oct-20,3.6,2,1,2,1,1
10001069,Male,28,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,1,3,2,22-Apr-22,22-Apr-22,0.5,0.5,0,0.5,0,1
10001070,Male,28,Other,Software Engineering,1,Technology,,,3,0,0,0,1,2,3,4,1,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,0
10001071,Male,28,Single,Software Engineering,2,Quality,,,3,0,0,0,3,3,1,4,3,22-Aug-18,22-Oct-20,4.2,2,1,2,1,0
10001074,Male,28,Married,Software Engineering,2,Technology,,,3,0,0,0,3,1,2,2,2,22-Apr-14,22-Oct-16,8.5,6,1,6,1,0
10001137,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,2,3,3,22-Dec-20,22-Oct-21,1.9,1,0,1,0,1
10001152,Female,28,Other,Software Engineering,2,Technology,,,4,0,0,0,2,1,1,2,2,22-Feb-17,22-Oct-19,5.7,3,0,3,1,0
10001284,Male,28,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,4,22-Feb-17,22-Oct-19,5.7,3,0,3,1,0
10001308,Female,28,Married,Software Engineering,1,Technology,,,4,0,0,0,3,3,1,3,3,22-Jul-19,22-Oct-20,3.3,2,1,2,1,0
10001324,Male,28,Other,Software Engineering,1,ASM,,,3,0,0,0,3,3,4,2,3,22-Oct-18,22-Oct-20,4.0,2,2,2,1,0
10001338,Female,28,Married,Software Engineering,1,Quality,,,3,0,0,0,2,3,2,4,3,22-Mar-21,22-Mar-21,1.6,1.6,0,1.6,0,0
10001365,Male,28,Married,Software Engineering,2,Quality,,,3,0,0,0,3,2,4,3,3,22-Jul-15,22-Oct-15,7.3,7,0,7,1,0
10001370,Female,28,Single,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,4,3,22-Jan-20,22-Jan-20,2.8,2.8,2,2.8,0,1
10001382,Male,28,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,3,3,2,22-Jun-17,22-Oct-19,5.4,3,1,3,1,0
10001391,Male,28,Other,Technical Degree,1,Technology,,,3,0,0,0,3,2,4,1,2,22-Apr-18,22-Oct-21,4.5,1,0,1,1,1
10000011,Male,29,Married,Software Engineering,1,Technology,,,3,0,0,0,1,4,2,3,3,22-Oct-16,22-Oct-18,6.0,4,0,4,1,0
10000012,Female,29,Single,Software Engineering,2,Technology,,,3,0,0,0,4,2,3,4,3,22-Jan-13,22-Oct-17,9.8,5,0,5,1,0
10000016,Female,29,Other,Software Engineering,3,Technology,,,3,0,0,0,2,4,1,3,3,22-Jul-12,22-Oct-13,10.3,9,8,9,1,0
10000038,Female,29,Married,Software Engineering,1,Quality,,,3,0,0,0,4,3,4,1,3,22-Jan-20,22-Oct-20,2.8,2,2,2,0,0
10000041,Male,29,Other,Other,1,Technology,,,3,0,0,0,3,3,4,3,3,22-Jun-21,22-Jun-21,1.4,1.4,0,1.4,0,0
10000050,Male,29,Married,Software Engineering,1,Technology,,,3,0,0,0,4,4,4,4,3,22-Aug-21,22-Aug-21,1.2,1.2,0,1.2,0,0
10000054,Male,29,Married,Software Engineering,3,Technology,,,3,0,0,0,3,2,1,3,3,22-Jan-18,22-Jan-18,4.8,4.8,2,4.8,1,0
10000057,Male,29,Married,Software Engineering,3,Quality,,,4,0,0,0,2,3,1,4,2,22-Apr-13,22-Oct-14,9.5,8,1,8,1,0
10000058,Female,29,Married,Software Engineering,1,Technology,,,3,0,0,0,3,3,1,3,3,22-Sep-20,22-Oct-20,2.1,2,2,2,0,0
10000069,Male,29,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,1,4,2,22-Sep-19,22-Oct-20,3.1,2,1,2,1,0
10000072,Male,29,Married,Software Engineering,1,Technology,,,4,0,0,0,3,3,2,4,3,22-Jan-17,22-Oct-18,5.8,4,0,4,1,0
10000077,Male,29,Single,Software Engineering,2,Quality,,,3,0,0,0,3,2,1,2,3,22-Aug-07,22-Oct-09,15.2,13,2,13,1,0
10000082,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,2,2,3,1,3,22-Jul-16,22-Oct-18,6.3,4,0,4,1,0
10000152,Male,29,Married,Software Engineering,3,Quality,,,3,0,0,0,3,3,2,1,3,22-Jun-12,22-Oct-14,10.4,8,0,8,1,0
10000156,Male,29,Married,Technical Degree,2,Technology,,,3,0,0,0,4,3,3,1,3,22-Mar-12,22-Oct-15,10.6,7,0,7,1,0
10000193,Male,29,Married,Software Engineering,2,Technology,,,3,0,0,0,2,2,3,1,3,22-Jan-21,22-Jan-21,1.8,1.8,0,1.8,0,1
10000197,Female,29,Single,Software Engineering,2,Technology,,,3,0,0,0,2,3,2,4,3,22-Oct-15,22-Oct-20,7.0,2,1,2,1,0
10000206,Female,29,Married,Software Engineering,3,Quality,,,4,0,0,0,2,3,4,4,2,22-Jul-12,22-Oct-18,10.3,4,1,4,1,1
10000218,Male,29,Single,Technical Degree,1,Technology,,,3,0,0,0,3,3,3,4,2,22-Mar-16,22-Oct-20,6.6,2,1,2,1,1
10000228,Female,29,Married,Software Engineering,3,Quality,,,3,0,0,0,2,3,4,4,3,22-Jan-11,22-Oct-12,11.8,10,4,10,1,0
10000229,Female,29,Single,Software Engineering,3,Quality,,,3,0,0,0,3,3,3,1,4,22-Mar-12,22-Oct-15,10.6,7,0,7,1,0
10000230,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,4,3,2,22-Sep-18,22-Oct-19,4.1,3,0,3,1,1
10000253,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,1,3,22-Sep-16,22-Oct-17,6.1,5,1,5,1,0
10000255,Male,29,Other,Software Engineering,2,Quality,,,3,0,0,0,4,3,4,4,3,22-Mar-19,22-Oct-20,3.6,2,0,2,1,0
10000266,Male,29,Married,Software Engineering,2,Quality,,,3,0,0,0,1,2,2,2,3,22-Oct-21,22-Oct-21,1.0,1,0,1,0,0
10000277,Female,29,Other,Software Engineering,3,Technology,,,3,0,0,0,2,4,2,2,2,22-Aug-15,22-Oct-15,7.2,7,6,7,1,0
10000283,Male,29,Single,Software Engineering,2,Quality,,,3,0,0,0,2,3,4,1,2,22-Dec-11,22-Oct-15,10.9,7,0,7,1,0
10000298,Male,29,Married,Software Engineering,3,Quality,,,3,0,0,0,3,3,2,3,2,22-Sep-11,22-Oct-13,11.1,9,6,9,1,0
10000337,Male,29,Married,Other,1,Technology,,,3,0,0,0,2,1,1,4,2,22-Feb-15,22-Oct-15,7.7,7,0,7,1,1
10000338,Male,29,Single,Other,1,Technology,,,3,0,0,0,2,2,4,3,3,22-Oct-18,22-Oct-20,4.0,2,2,2,1,0
10000344,Female,29,Other,Software Engineering,2,Quality,,,3,0,0,0,4,2,2,1,3,22-Mar-15,22-Oct-15,7.6,7,1,7,1,0
10000345,Male,29,Single,Technical Degree,3,Technology,,,3,0,0,0,3,3,2,4,3,22-Oct-05,22-Oct-16,17.0,6,0,6,1,0
10000350,Male,29,Married,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,1,2,22-Jul-18,22-Oct-19,4.3,3,0,3,1,0
10000372,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,4,3,22-Sep-19,22-Oct-20,3.1,2,1,2,1,0
10000373,Male,29,Single,Software Engineering,2,Technology,,,3,0,0,0,3,2,2,3,3,22-Mar-21,22-Oct-21,1.6,1,0,1,0,0
10000421,Male,29,Married,Software Engineering,3,Technology,,,3,0,0,0,2,2,3,3,3,22-Feb-12,22-Oct-20,10.7,2,0,2,1,0
10000422,Female,29,Married,Technical Degree,1,Technology,,,3,0,0,0,3,2,2,2,4,22-Apr-20,22-Oct-20,2.5,2,1,2,0,1
10000431,Male,29,Single,Software Engineering,1,Technology,,,3,0,0,0,4,1,3,3,3,22-Jul-17,22-Oct-18,5.3,4,4,4,1,0
10000439,Male,29,Married,Software Engineering,3,Technology,,,3,0,0,0,4,3,3,3,3,22-Mar-14,22-Oct-15,8.6,7,0,7,1,0
10000448,Male,29,Married,Software Engineering,2,Quality,,,3,0,0,0,2,3,3,3,3,22-Dec-10,22-Oct-13,11.9,9,6,9,1,0
10000455,Male,29,Other,Technical Degree,2,Technology,,,3,0,0,0,4,3,4,2,4,22-Sep-19,22-Oct-20,3.1,2,1,2,1,0
10000462,Female,29,Single,Software Engineering,2,Quality,,,3,0,0,0,1,3,3,4,3,22-Jan-17,22-Oct-18,5.8,4,0,4,1,0
10000484,Male,29,Single,Other,2,Technology,,,3,0,0,0,1,2,4,4,3,22-Apr-19,22-Oct-20,3.5,2,0,2,1,0
10000508,Female,29,Married,Software Engineering,2,Quality,,,3,0,0,0,2,3,3,1,2,22-Apr-16,22-Apr-16,6.5,6.5,1,6.5,1,0
10000509,Male,29,Single,Software Engineering,2,Technology,,,3,0,0,0,2,1,4,2,3,22-Oct-04,22-Oct-11,18.0,11,11,11,1,0
10000520,Male,29,Other,Software Engineering,1,Technology,,,3,0,0,0,2,1,4,4,3,22-Jul-12,22-Oct-15,10.3,7,2,7,1,0
10000547,Male,29,Single,Software Engineering,1,Quality,,,3,0,0,0,3,3,3,3,3,22-Jun-21,22-Jun-21,1.4,1.4,0,1.4,0,0
10000556,Male,29,Other,Software Engineering,1,Quality,,,3,0,0,0,4,3,2,4,3,22-Dec-19,22-Oct-20,2.9,2,2,2,0,0
10000573,Female,29,Married,Software Engineering,2,Technology,,,3,0,0,0,2,3,3,1,2,22-Aug-14,22-Oct-15,8.2,7,1,7,1,0
10000590,Female,29,Married,Software Engineering,1,Technology,,,3,0,0,0,2,2,1,4,3,22-Jan-21,22-Jan-21,1.8,1.8,0,1.8,0,1
10000595,Male,29,Married,Software Engineering,1,Technology,,,4,0,0,0,3,4,3,3,3,22-Jul-12,22-Oct-15,10.3,7,0,7,1,0
10000646,Female,29,Other,Software Engineering,1,Quality,,,3,0,0,0,2,2,3,3,3,22-Jun-19,22-Oct-20,3.4,2,0,2,1,1
10000658,Female,29,Other,Software Engineering,1,Technology,,,3,0,0,0,1,2,4,3,3,22-Sep-18,22-Oct-19,4.1,3,0,3,1,0
10000698,Female,29,Married,Technical Degree,1,Quality,,,3,0,0,0,3,3,4,2,3,22-Sep-19,22-Oct-21,3.1,1,0,1,1,0
10000712,Female,29,Single,Software Engineering,1,Technology,,,4,0,0,0,4,2,1,3,3,22-Dec-21,22-Dec-21,0.9,0.9,0,0.9,0,1
10000809,Female,29,Other,Software Engineering,1,Technology,,,4,0,0,0,3,3,4,1,3,22-Jun-15,22-Oct-17,7.4,5,1,5,1,0
10000824,Female,29,Other,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,4,2,22-Jan-15,22-Oct-17,7.8,5,1,5,1,0
